po_line_id,gr_posting_date,gr_effective_quantity,gr_amount_usd
4581717940-1,2023-06-13,2.0,0.0
4581722816-1,2023-01-10,10.0,0.0
4581722816-2,2023-01-10,20.0,0.0
4581722816-3,2023-01-10,10.0,0.0
4581722816-4,2023-01-10,20.0,0.0
4581724740-1,2022-12-06,1272.32,15050.3
4581727777-1,2022-12-15,142.5,17203.21
4581727777-1,2022-12-21,10.5,1267.6
4581727777-1,2022-12-29,49.5,5975.85
4581727777-1,2023-01-20,36.0,4390.24
4581727827-1,2023-01-03,745.0,225115.17
4581727828-1,2022-12-15,541.5,65372.23
4581727828-1,2022-12-21,123.0,14849.09
4581727828-1,2022-12-29,40.5,4889.33
4581727828-1,2023-01-16,153.0,18658.53
4581737302-13,2023-01-11,2.0,0.0
4581737304-23,2023-09-28,50.0,0.0
4581737304-24,2023-08-23,2.0,0.0
4581737304-25,2023-09-29,1.0,0.0
4581737304-26,2023-06-07,1.0,0.0
4581737304-6,2023-10-25,5.0,0.0
4581737304-8,2023-08-23,1.0,0.0
4581737305-134,2023-07-19,2.0,0.0
4581737305-151,2023-08-09,27.0,0.0
4581737305-20,2023-07-19,6.0,0.0
4581737305-209,2023-02-28,230.0,0.0
4581737305-227,2023-07-19,1.0,0.0
4581737305-229,2023-07-19,3.0,0.0
4581737305-231,2023-07-19,14.0,0.0
4581737307-11,2023-07-10,5.0,0.0
4581737307-7,2023-07-10,5.0,0.0
4581737813-16,2022-12-05,5.0,0.0
4581737813-17,2022-12-06,2.0,0.0
4581737813-17,2022-12-19,87.0,0.0
4581737813-2,2022-12-06,5.0,0.0
4581737813-24,2022-12-05,5.0,0.0
4581737813-25,2022-12-05,5.0,0.0
4581737813-26,2022-12-05,2.0,0.0
4581737813-6,2023-11-28,2.0,0.0
4581740030-1,2023-03-14,10.0,0.0
4581740682-1,2023-04-24,50.0,5652.78
4581740685-2,2023-01-23,12.0,0.0
4581740685-2,2023-04-05,141.0,0.0
4581740685-2,2023-07-25,447.0,0.0
4581740685-3,2024-05-14,2.0,0.0
4581740685-4,2023-03-20,1.0,0.0
4581740693-2,2023-02-27,1.0,0.0
4581740694-1,2023-06-29,2.0,0.0
4581740694-2,2023-02-16,3.0,0.0
4581740694-3,2022-12-20,1.0,0.0
4581749510-1,2022-12-05,989.0,0.0
4581749510-1,2022-12-06,11.0,0.0
4581749510-2,2022-12-06,1000.0,0.0
4581749588-1,2023-03-14,10.0,0.0
4581749604-10,2022-12-19,2.0,0.0
4581749604-10,2022-12-29,2.0,0.0
4581749604-11,2023-01-10,2.0,0.0
4581749604-11,2023-02-24,1.0,0.0
4581749604-12,2023-04-26,2.0,0.0
4581749604-13,2022-12-06,4.0,0.0
4581749604-14,2022-12-14,1.0,0.0
4581749604-14,2023-02-06,2.0,0.0
4581749604-2,2022-12-19,3.0,0.0
4581749604-3,2022-12-04,1.0,0.0
4581749604-3,2022-12-14,3.0,0.0
4581749604-4,2022-12-19,3.0,0.0
4581749604-5,2022-12-19,3.0,0.0
4581749604-5,2023-04-26,1.0,0.0
4581749604-6,2022-12-19,3.0,0.0
4581749604-7,2022-12-19,4.0,0.0
4581749604-9,2022-12-19,4.0,0.0
4581751588-1,2023-03-20,1500.0,60967.1
4581751588-2,2023-03-20,2010.0,138393.86
4581751588-3,2023-03-20,10.0,0.0
4581751588-4,2023-03-20,24.0,5123.86
4581751588-5,2023-03-20,10.0,1331.47
4581751588-6,2023-03-20,10.0,1063.6
4581751588-7,2023-03-20,200.0,1935.86
4581751588-8,2023-03-20,100.0,4879.05
4581751588-9,2023-03-20,1500.0,10973.65
4581751589-1,2023-03-22,83.0,0.0
4581751589-2,2023-03-22,83.0,0.0
4581751589-4,2023-03-22,60.0,0.0
4581751589-5,2023-03-22,30.0,0.0
4581751613-1,2023-02-01,84.0,0.0
4581751613-1,2023-05-22,36.0,0.0
4581751613-2,2022-12-06,3120.0,0.0
4581751613-3,2023-02-06,6.0,0.0
4581751613-3,2023-04-05,244.0,0.0
4581751613-4,2022-12-06,400.0,0.0
4581751613-7,2023-02-06,7.0,0.0
4581751613-8,2023-12-29,2.0,0.0
4581751616-1,2023-01-20,300.0,0.0
4581751616-10,2023-01-20,10.0,0.0
4581751616-11,2023-01-20,40.0,0.0
4581751616-12,2023-01-20,6.0,0.0
4581751616-13,2022-12-06,6.0,0.0
4581751616-14,2022-12-06,6.0,0.0
4581751616-15,2022-12-06,6.0,0.0
4581751616-17,2023-08-29,6.0,0.0
4581751616-18,2022-12-05,8.0,0.0
4581751616-19,2022-12-06,3.0,0.0
4581751616-2,2023-01-20,250.0,0.0
4581751616-20,2023-01-20,1.0,0.0
4581751616-21,2023-01-20,2.0,0.0
4581751616-22,2023-01-20,1.0,0.0
4581751616-23,2022-12-20,4.0,0.0
4581751616-24,2022-12-06,4.0,0.0
4581751616-25,2024-04-16,4.0,0.0
4581751616-26,2023-01-20,2.0,0.0
4581751616-27,2023-01-20,2.0,0.0
4581751616-3,2023-01-20,250.0,0.0
4581751616-4,2023-01-20,5.0,0.0
4581751616-5,2023-01-20,1.0,0.0
4581751616-5,2023-01-23,2.0,0.0
4581751616-5,2023-03-10,3.0,0.0
4581751616-6,2023-01-20,6.0,0.0
4581751616-7,2022-12-22,1.0,0.0
4581751616-7,2023-03-01,2.0,0.0
4581751616-7,2023-04-26,3.0,0.0
4581751616-8,2022-12-06,20.0,0.0
4581751616-9,2024-08-22,50.0,0.0
4581751618-1,2023-02-09,8.0,0.0
4581753835-2,2023-04-26,-1.0,0.0
4581753857-2,2023-04-26,-1.0,0.0
4581753865-2,2023-04-26,-1.0,0.0
4581753886-2,2023-01-03,-1.0,0.0
4581755059-1,2023-01-31,1.0,0.0
4581755060-1,2023-03-02,2.0,0.0
4581755317-2,2023-02-14,250.0,8080.0
4581755318-1,2023-04-19,10.0,0.0
4581755327-1,2022-12-15,2.0,0.0
4581755577-1,2022-12-14,1778.0,0.0
4581763741-1,2022-12-23,40.0,0.0
4581766817-1,2023-03-20,10.0,0.0
4581767279-1,2022-12-06,60.0,0.0
4581770073-1,2024-04-10,1.0,0.0
4581770082-1,2023-08-16,3.0,0.0
4581770101-1,2023-02-14,6.0,0.0
4581770101-2,2023-02-14,10.0,0.0
4581770101-3,2023-02-14,20.0,0.0
4581770774-1,2022-12-02,4.0,0.0
4581770774-2,2022-12-02,4.0,0.0
4581770774-3,2022-12-02,2.0,0.0
4581771943-1,2022-12-13,1.0,0.0
4581771943-2,2022-12-13,1.0,0.0
4581775352-1,2022-12-14,1.0,0.0
4581775352-2,2022-12-14,70.0,0.0
4581776258-1,2023-01-06,1.0,0.0
4581776258-2,2023-07-17,10.0,11.1
4581776258-3,2023-03-03,13.0,0.0
4581776260-1,2023-07-04,1.0,0.0
4581776260-10,2023-04-04,20.0,0.0
4581776260-11,2023-05-29,2.0,0.0
4581776260-12,2023-04-04,1.0,0.0
4581776260-13,2022-12-20,1.0,0.0
4581776260-14,2023-04-04,3.0,0.0
4581776260-15,2023-04-04,3.0,0.0
4581776260-16,2023-03-03,3.0,0.0
4581776260-17,2023-04-04,3.0,0.0
4581776260-18,2023-04-04,10.0,0.0
4581776260-19,2023-03-03,3.0,0.0
4581776260-2,2023-06-20,1.0,0.0
4581776260-20,2023-04-04,4.0,0.0
4581776260-21,2023-04-04,1.0,0.0
4581776260-22,2023-12-11,1.0,0.0
4581776260-23,2023-02-14,2.0,0.0
4581776260-24,2023-04-04,15.0,0.0
4581776260-25,2023-04-04,3.0,0.0
4581776260-26,2023-04-18,1.0,0.0
4581776260-27,2022-12-20,1.0,0.0
4581776260-28,2023-04-04,1.0,0.0
4581776260-29,2023-04-04,1.0,0.0
4581776260-3,2023-04-04,1.0,0.0
4581776260-30,2023-04-04,50.0,0.0
4581776260-31,2025-02-05,4.0,0.0
4581776260-32,2022-12-20,10.0,0.0
4581776260-33,2023-04-04,20.0,0.0
4581776260-34,2023-04-04,34.0,0.0
4581776260-35,2023-04-18,20.0,0.0
4581776260-36,2023-04-04,20.0,0.0
4581776260-37,2023-04-18,80.0,0.0
4581776260-38,2023-04-04,37.0,0.0
4581776260-39,2023-04-04,5.0,0.0
4581776260-4,2023-04-04,1.0,0.0
4581776260-40,2023-04-04,70.0,0.0
4581776260-41,2023-04-04,50.0,0.0
4581776260-42,2023-04-04,20.0,0.0
4581776260-43,2023-05-02,5.0,0.0
4581776260-44,2023-04-04,1.0,0.0
4581776260-45,2023-04-04,35.0,0.0
4581776260-46,2022-12-20,10.0,0.0
4581776260-47,2023-04-04,5.0,0.0
4581776260-48,2023-04-04,50.0,0.0
4581776260-49,2022-12-25,80.0,0.0
4581776260-5,2023-04-04,3.0,0.0
4581776260-50,2023-04-04,20.0,0.0
4581776260-51,2022-12-20,10.0,0.0
4581776260-52,2023-04-04,20.0,0.0
4581776260-53,2023-04-04,3.0,0.0
4581776260-54,2023-04-18,5.0,0.0
4581776260-55,2023-03-03,15.0,0.0
4581776260-56,2022-12-20,80.0,0.0
4581776260-57,2022-12-20,10.0,0.0
4581776260-58,2022-12-20,50.0,0.0
4581776260-59,2023-09-13,50.0,0.0
4581776260-6,2023-04-04,3.0,0.0
4581776260-60,2023-03-03,5.0,0.0
4581776260-60,2023-04-04,30.0,0.0
4581776260-61,2022-12-20,5.0,0.0
4581776260-62,2022-12-20,15.0,0.0
4581776260-63,2023-04-04,20.0,0.0
4581776260-64,2023-10-16,25.0,0.0
