reservation_line_id,reservation_number,reservation_line_number,reservation_creation_date,reservation_requirement_date,part_number,description,open_reservation_qty,open_reservation_value,reservation_status,reservation_source,wbs_number,requester_alias,plant_code,po_number,po_line_number,po_line_item_id,asset_code,asset_serial_number
6086214878-1,6086214878,1,2025-11-24,2025-11-25,100109883,"CENTER BODY, ARM MOUNTING",1.0,5757.2104,04. PO Available to Peg,MAXIMO,,02307312,3606,4584632148,1,4584632148-1,,
6086214878-2,6086214878,2,2025-11-24,2025-11-25,J971840,"HOUSING, POWER UNIT",1.0,3542.4207,04. PO Available to Peg,MAXIMO,,02307312,3606,4584632535,1,4584632535-1,,
6086209747-1,6086209747,1,2025-11-24,2025-11-24,H547151,"Na 22, 92.5 Bq HNGS SOURCE",1.0,1292.46,04. PO Available to Peg,SAP - MANUAL Reservation,,FHERWANTO,3606,9000225482,1,9000225482-1,,
6086136599-1,6086136599,1,2025-11-23,2025-11-25,B012163,"O-RING;222,1.484 IN,0.139 IN,FKM,95A",2.0,1.58,05. No PO Available to Peg,MAXIMO,,02832673,3606,,,,,
6086136598-1,6086136598,1,2025-11-23,2025-11-23,E076050,ADHESIVE FOR METAL/VITON,2.0,341.70000000000005,05. No PO Available to Peg,SAP - MANUAL Reservation,,SANTOSO,3606,,,,,
6086037705-2,6086037705,2,2025-11-21,2026-02-19,101398632,CAP 10uF 20% 50VDC WET Ta AXIAL T1 RoHS,10.0,368.5,05. No PO Available to Peg,MAXIMO,,06296636,3610,,,,,
6086029790-4,6086029790,4,2025-11-21,2025-11-21,101498517,"CLAMP,WELDED",1.0,599.2815,05. No PO Available to Peg,SAP - MANUAL Reservation,,FHERWANTO,3606,,,,,
6086029477-7,6086029477,7,2025-11-21,2026-02-19,103150739,"SET, CABLE COATING GUIDE BUSHING .568"" ~",1.0,73.7,05. No PO Available to Peg,MAXIMO,,06296636,3606,,,,,
6086029790-2,6086029790,2,2025-11-21,2025-11-21,103453873,HRGD 53/21 JUMPER CALIPER,2.0,156.311,05. No PO Available to Peg,SAP - MANUAL Reservation,,FHERWANTO,3606,,,,,
6086045074-2,6086045074,2,2025-11-21,2025-11-21,105955342,NEEDLE VALVE FOR FLANGED BODY,6.0,841.3860000000002,04. PO Available to Peg,SAP - MANUAL Reservation,,cnevarez2,3606,4584621555,2,4584621555-2,,
6086045074-3,6086045074,3,2025-11-21,2025-11-21,105955370,"SEAL KIT - FLG EQUALIZING, ACTUATOR SEAL",6.0,23.8788,04. PO Available to Peg,SAP - MANUAL Reservation,,cnevarez2,3606,4584621555,1,4584621555-1,,
6086045074-4,6086045074,4,2025-11-21,2025-11-21,106048280,Equalizer valve body ,4.0,1356.5088,04. PO Available to Peg,SAP - MANUAL Reservation,,cnevarez2,3606,4584629730,1,4584629730-1,,
6086029790-3,6086029790,3,2025-11-21,2025-11-21,B012579,"O-RING;229,2.359 IN,0.139 IN,FKM,95A",20.0,31.8,01. SOH Available to Peg,SAP - MANUAL Reservation,,FHERWANTO,3606,,,,,
6086029790-1,6086029790,1,2025-11-21,2025-11-21,B030732,"RETAINING RING,INT,BASIC 0.688  BORE SS~",10.0,11.122,05. No PO Available to Peg,SAP - MANUAL Reservation,,FHERWANTO,3606,,,,,
6086037705-1,6086037705,1,2025-11-21,2026-02-19,E019328,RES 0.1ohm 1% 3W AXIAL WIREWOUND RoHS,10.0,33.5,05. No PO Available to Peg,MAXIMO,,06296636,3610,,,,,
6086029464-2,6086029464,2,2025-11-21,2025-11-21,H114228,"HANGER, SHEAVE, 24,000 SWL",1.0,1921.9825,04. PO Available to Peg,SAP - MANUAL Reservation,,ckok3,3650,4584631687,1,4584631687-1,,
6086029464-1,6086029464,1,2025-11-21,2025-11-21,T5011076,"SLING SAFETY, 12FT, SINGLE PATH, 50,000~",1.0,2377.61,04. PO Available to Peg,SAP - MANUAL Reservation,,ckok3,3650,4584631687,2,4584631687-2,,
