po_line_id,invoice_posting_date,ir_effective_quantity,ir_amount_usd
4581717940-1,2023-06-06,2.0,5356.0
4581722816-1,2022-12-12,10.0,1930.0
4581722816-2,2022-12-12,20.0,8000.0
4581722816-3,2022-12-12,10.0,7670.0
4581722816-4,2022-12-12,20.0,13000.0
4581724740-1,2023-04-19,1272.32,14955.91
4581727777-1,2022-12-10,124.5,15030.17
4581727777-1,2022-12-21,141.0,17022.12
4581727777-1,2023-01-09,144.14,17577.6
4581727777-1,2023-01-23,91.5,11158.52
4581727777-1,2024-06-24,1.36,162.54
4581727827-1,2022-12-01,39.0,11665.99
4581727827-1,2022-12-07,123.0,36792.75
4581727827-1,2022-12-09,102.0,30511.06
4581727827-1,2022-12-10,121.5,36344.06
4581727827-1,2022-12-14,157.5,47112.67
4581727827-1,2022-12-15,240.0,71790.73
4581727827-1,2023-02-07,189.0,59953.05
4581727828-1,2022-12-21,406.5,52152.9
4581727828-1,2022-12-22,299.5,36217.29
4581727828-1,2023-01-06,-60.0,-10426.82
4581727828-1,2023-01-08,156.41,19074.27
4581727828-1,2023-01-25,200.0,24390.23
4581727828-1,2023-04-05,76.09,8116.23
4581731859-1,2023-05-17,2.0,34725.0
4581731859-2,2023-05-17,2.0,2790.0
4581736496-1,2024-12-13,3.0,0.0
4581737302-13,2023-01-05,2.0,88.0
4581737304-23,2023-09-08,50.0,44.0
4581737304-24,2023-08-15,2.0,78.0
4581737304-25,2023-09-08,1.0,7.0
4581737304-26,2023-05-30,1.0,285.65
4581737304-6,2023-10-03,5.0,1600.0
4581737304-8,2023-08-15,1.0,424.02
4581737305-134,2023-07-14,2.0,2186.16
4581737305-151,2023-08-05,27.0,578.34
4581737305-20,2023-07-14,6.0,5137.92
4581737305-209,2023-02-21,230.0,322.0
4581737305-227,2023-07-14,1.0,142.62
4581737305-229,2023-07-14,3.0,82.98
4581737305-231,2023-07-14,14.0,237.3
4581737307-11,2023-07-05,5.0,459.1
4581737307-7,2023-07-05,5.0,1277.2
4581737813-17,2022-12-08,87.0,142.68
4581737813-6,2023-11-20,2.0,1911.9
4581740030-1,2023-03-02,10.0,2453.2
4581740682-1,2023-04-17,54.0,21803.58
4581740685-2,2023-01-11,12.0,580.92
4581740685-2,2023-02-08,89.0,4308.49
4581740685-2,2023-03-28,52.0,2517.32
4581740685-2,2023-07-10,447.0,21639.27
4581740685-3,2024-02-21,2.0,18009.6
4581740685-4,2023-03-14,1.0,639.0
4581740693-2,2023-02-01,1.0,2040.0
4581740694-1,2023-06-12,2.0,1072.0
4581740694-2,2023-01-17,3.0,1401.0
4581749588-1,2023-02-10,10.0,2246.2
4581749604-10,2022-12-08,2.0,362.74
4581749604-10,2022-12-21,2.0,362.74
4581749604-11,2023-01-03,2.0,386.72
4581749604-11,2023-02-18,1.0,193.36
4581749604-12,2023-04-15,2.0,314.16
4581749604-14,2022-12-06,1.0,159.94
4581749604-14,2023-02-01,2.0,319.88
4581749604-2,2022-12-08,3.0,483.54
4581749604-3,2022-12-06,3.0,518.19
4581749604-4,2022-12-08,3.0,489.9
4581749604-5,2022-12-08,3.0,490.74
4581749604-5,2023-04-15,1.0,163.58
4581749604-6,2022-12-08,3.0,487.29
4581749604-7,2022-12-08,4.0,639.6
4581749604-9,2022-12-08,4.0,648.16
4581751588-1,2023-01-11,1500.0,60967.1
4581751588-2,2023-01-11,2010.0,138393.86
4581751588-3,2023-01-11,10.0,1462.17
4581751588-4,2023-01-11,24.0,5123.86
4581751588-5,2023-01-11,10.0,1331.47
4581751588-6,2023-01-11,10.0,1063.6
4581751588-7,2023-01-11,200.0,1935.86
4581751588-8,2023-01-11,100.0,4879.05
4581751588-9,2023-01-11,1500.0,10973.65
4581751589-1,2023-01-09,83.0,16600.0
4581751589-2,2023-01-09,83.0,18675.0
4581751589-4,2023-01-09,60.0,53820.0
4581751589-5,2023-01-09,30.0,35610.0
4581751613-1,2023-01-18,84.0,2416.68
4581751613-1,2023-05-09,36.0,1035.72
4581751613-3,2023-01-30,6.0,7.56
4581751613-3,2023-02-08,244.0,307.44
4581751613-7,2023-01-18,7.0,155.82
4581751613-8,2023-11-16,2.0,19359.64
4581751616-1,2022-12-12,300.0,294.0
4581751616-10,2022-12-12,10.0,68.5
4581751616-11,2022-12-12,40.0,495.6
4581751616-12,2022-12-12,6.0,620.58
4581751616-17,2023-08-10,6.0,766.62
4581751616-2,2022-12-12,250.0,205.0
4581751616-20,2022-12-12,1.0,126.44
4581751616-21,2022-12-12,2.0,173.56
4581751616-22,2022-12-12,1.0,2040.0
4581751616-25,2024-04-06,4.0,175.68
4581751616-26,2022-12-12,2.0,224.66
4581751616-27,2022-12-12,2.0,483.74
4581751616-3,2022-12-12,250.0,812.5
4581751616-4,2022-12-12,5.0,44.35
4581751616-5,2022-12-12,1.0,381.57
4581751616-5,2023-01-16,2.0,763.14
