PO Line ID,Invoice Posting Date,IR Effective Quantity,Invoice Amount
4581911397-1,2023-01-16 00:00:00.000,20.0,52.0
4581911397-2,2023-01-16 00:00:00.000,14.0,81.62
4581911816-1,2023-01-15 00:00:00.000,1000.0,190.0
4581911816-2,2023-03-13 00:00:00.000,1500.0,375.0
4581911846-1,2023-01-05 00:00:00.000,1.0,1404.87
4581911856-2,2023-02-22 00:00:00.000,1.0,2406.51
4581913853-1,2023-03-08 00:00:00.000,2.0,14908.78
4581913854-1,2023-02-01 00:00:00.000,2.0,2486.06
4581913854-2,2023-02-01 00:00:00.000,2.0,2971.68
4581913854-3,2023-04-28 00:00:00.000,1.0,1536.1
4581913854-4,2023-01-20 00:00:00.000,2.0,257.46
4581913854-4,2023-02-01 00:00:00.000,3.0,386.19
4581913870-1,2023-03-19 00:00:00.000,5.0,201.3
4581913910-10,2023-01-19 00:00:00.000,20.0,19.0
4581913910-11,2023-01-19 00:00:00.000,2.0,96.06
4581913910-12,2023-01-19 00:00:00.000,20.0,10.4
4581913910-13,2023-01-19 00:00:00.000,100.0,41.0
4581913910-14,2023-01-19 00:00:00.000,200.0,1164.0
4581913910-15,2023-01-19 00:00:00.000,5.0,30.1
4581913910-16,2023-01-19 00:00:00.000,3.0,45.12
4581913910-17,2023-01-19 00:00:00.000,20.0,2.4
4581913910-18,2023-01-19 00:00:00.000,10.0,3.7
4581913910-19,2023-02-24 00:00:00.000,39.0,158.34
4581913910-19,2023-08-26 00:00:00.000,11.0,44.66
4581913910-2,2023-03-07 00:00:00.000,1.0,347.57
4581913910-20,2023-01-19 00:00:00.000,50.0,237.5
4581913910-21,2023-01-19 00:00:00.000,50.0,429.0
4581913910-22,2023-01-19 00:00:00.000,50.0,136.0
4581913910-23,2023-03-28 00:00:00.000,50.0,105.5
4581913910-24,2023-01-19 00:00:00.000,25.0,118.75
4581913910-25,2023-01-19 00:00:00.000,20.0,240.4
4581913910-3,2023-03-07 00:00:00.000,4.0,161.68
4581913910-4,2023-03-07 00:00:00.000,1.0,502.65
4581913910-5,2023-03-07 00:00:00.000,40.0,117.6
