Index,Material-Plant,Plant,Geo-Unit,GEO UNIT (Profit Center),Material,Reservation -Line,Requirements Date,Creation Date,Stock On Hand - DDSC,Stock On Hand - HDSC,Last 3 Month Consumption,Last 6 Month Consumption,Last 12 Month Consumption,Material Stratification (Last 6 Month Consumption),Material Stratification (Last 12 Month Consumption),Open Qty - Reservation,Open Reservation Value,Material/Plant-SOH - Total,Primary Pegged PO-LN - Open Qty,Combined SOH & PO Pegging,Main - PO Line to Peg to Reservation,Main - PO to Peg to Reservation,Additional PO - Line to Peg,Primary Pegged PO-LN - Order Qty,Primary Pegged PO-LN - Approval Status,Primary Pegged PO-LN - RDD Date,Pegged Main PO GR Status,Pegged Main PO Invoice Status,Primary Pegged PO-LN - Invoice Qty,Post Pegging SOH Qty,Post Pegging PO Qty,Material Description,MRP Parameters - MRP Controller,MRP Parameters - Profit Center,MRP Parameters - Planned Delivery Time,MRP Parameters - Prime Status,MRP Parameters - Safety Stock,MRP Parameters - Standard Price,Business Line - By Cost Center,Sub - Business Line - By Cost Center,Business Line by Profit Center,Material/Plant-Open PO Qty - Total,Purchase Requisition - Status,Purchase Requisitions,Planned Order - Status,Planned Orders,Maximo Asset ID,Maximo Asset Num,Maximo Serial No,Reservation Creation type,WO Number,User Name,Goods recipient,Maximo - WO STATUS and Part Status,WBS Element,Cost Center,reservation_line_id,reservation_number,reservation_line_number
1,100109883-3606,3606.0,APG,APG,100109883,6086214878-1,2025-11-25,2025-11-24,4.0,,1.0,1.0,1.0,STRANGER,STRANGER,1.0,5757.2104,,1.0,04. PO Available to Peg,4584632148-1,4584632148,,1.0,Approved,2025-11-20,Pending Full GR,PO is not Invoiced,,-1.0,0.0,"CENTER BODY, ARM MOUNTING",005,110516.0,18.0,AR Part,0.0,5959.5763,RPE,WLES,RPE,1.0,No Purchase Requisition,,NO PLD ORDER,,,,,MAXIMO,49365954,SYS-MAXIMO,02307312,-,,AU100070,6086214878-1,6086214878,1
1,J971840-3606,3606.0,APG,APG,J971840,6086214878-2,2025-11-25,2025-11-24,9.0,1.0,1.0,1.0,1.0,STRANGER,STRANGER,1.0,3542.4207,,1.0,04. PO Available to Peg,4584632535-1,4584632535,,1.0,Blocked,2025-11-20,Pending Full GR,PO is not Invoiced,,-1.0,0.0,"HOUSING, POWER UNIT",ZZZ,110516.0,21.0,Non AR Part,0.0,3666.9368000000004,RPE,WLES,RPE,1.0,No Purchase Requisition,,PLANNED ORDER Available Convert to Purchase Requisition,1031440254,,,,MAXIMO,49365954,SYS-MAXIMO,02307312,-,,AU100070,6086214878-2,6086214878,2
2,H547151-3606,3606.0,APG,APG,H547151,6086209747-1,2025-11-24,2025-11-24,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,1292.46,,2.0,04. PO Available to Peg,9000225482-1,9000225482,,2.0,Approved,2022-03-28,Pending Full GR,PO is not Invoiced,0.0,-2.0,0.0,"Na 22, 92.5 Bq HNGS SOURCE",ZZZ,110516.0,14.0,Non AR Part,0.0,4124.319,RPE,WLES,RPE,3.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,,02307312,FHERWANTO,-,,AU100070,6086209747-1,6086209747,1
1,B012163-3606,3606.0,APG,APG,B012163,6086136599-1,2025-11-25,2025-11-23,4667.0,7985.0,10.0,10.0,104.0,STRANGER,STRANGER,2.0,1.58,,,05. No PO Available to Peg,,,,,,,,,,-2.0,0.0,"O-RING;222,1.484 IN,0.139 IN,FKM,95A",WM1,110746.0,21.0,Non AR Part,0.0,0.8643000000000001,RPS,WPS,WCM,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,MAXIMO,1052181329,SYS-MAXIMO,02832673,-,,AU100314,6086136599-1,6086136599,1
1,E076050-3606,3606.0,APG,APG,E076050,6086136598-1,2025-11-23,2025-11-23,0.0,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,2.0,341.70000000000005,,,05. No PO Available to Peg,,,,,,,,,,-2.0,0.0,ADHESIVE FOR METAL/VITON,ZZZ,110516.0,74.0,Non AR Part,0.0,170.85000000000002,RPE,WLES,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,M: XPCC FCO7,00821967,SANTOSO,-,,AU100070,6086136598-1,6086136598,1
1,101398632-3610,3610.0,APG,APG,101398632,6086037705-2,2026-02-19,2025-11-21,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,10.0,368.5,,,05. No PO Available to Peg,,,,,,,,,,-10.0,0.0,CAP 10uF 20% 50VDC WET Ta AXIAL T1 RoHS,ZZZ,110740.0,55.0,Non AR Part,0.0,36.85,RPE,WLES,RPI,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,MAXIMO,1050585536,SYS-MAXIMO,06296636,-,,AU100307,6086037705-2,6086037705,2
1,101498517-3606,3606.0,APG,APG,101498517,6086029790-4,2025-11-21,2025-11-21,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,599.2815,,,05. No PO Available to Peg,,,,,,,,,,-1.0,0.0,"CLAMP,WELDED",ZZZ,110516.0,218.0,Non AR Part,0.0,599.2815,RPE,WLES,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,,02307312,FHERWANTO,-,,AU100070,6086029790-4,6086029790,4
1,103150739-3606,3606.0,APG,APG,103150739,6086029477-7,2026-02-19,2025-11-21,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,73.7,,,05. No PO Available to Peg,,,,,,,,,,-1.0,0.0,"SET, CABLE COATING GUIDE BUSHING .568"" ~",ZZZ,110795.0,33.0,Non AR Part,0.0,73.7,RPE,WLES,RPI,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,MAXIMO,1050503714,SYS-MAXIMO,06296636,-,,AU100070,6086029477-7,6086029477,7
1,103453873-3606,3606.0,APG,APG,103453873,6086029790-2,2025-11-21,2025-11-21,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,2.0,156.311,,,05. No PO Available to Peg,,,,,,,,,,-2.0,0.0,HRGD 53/21 JUMPER CALIPER,ZZZ,110516.0,33.0,Non AR Part,0.0,78.1555,RPE,WLES,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,,02307312,FHERWANTO,-,,AU100070,6086029790-2,6086029790,2
1,105955342-3606,3606.0,APG,APG,105955342,6086045074-2,2025-11-21,2025-11-21,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,6.0,841.3860000000002,,6.0,04. PO Available to Peg,4584621555-2,4584621555,,6.0,Approved,2025-12-29,Pending Full GR,PO is not Invoiced,,-6.0,0.0,NEEDLE VALVE FOR FLANGED BODY,ZZZ,110498.0,33.0,Non AR Part,0.0,140.23100000000002,RPI,WIS,RPI,6.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,,02950517,cnevarez2,-,,AU100022,6086045074-2,6086045074,2
