sap_wbs_raw,wbs_source,project_number,operation_number,ops_activity_number,wbs_name,client_name,rig,ops_district,location,sub_business_line_raw
J.26.019759,Operation Activity,P.1077724,O.1077724.01,A.1077724.01.05,ShaleAID test5,ORIGIN ENERGY UPSTREAM OPERATOR PTY LTD,,AUS East Coast WS,,WS Production Services
J.26.019758,Operation Activity,P.1077724,O.1077724.01,A.1077724.01.04,ShaleAID test4,ORIGIN ENERGY UPSTREAM OPERATOR PTY LTD,,AUS East Coast WS,,WS Production Services
J.26.019757,Operation Activity,P.1077724,O.1077724.01,A.1077724.01.03,ShaleAID test3,ORIGIN ENERGY UPSTREAM OPERATOR PTY LTD,,AUS East Coast WS,,WS Production Services
J.26.019756,Operation Activity,P.1077724,O.1077724.01,A.1077724.01.02,ShaleAID test2,ORIGIN ENERGY UPSTREAM OPERATOR PTY LTD,,AUS East Coast WS,,WS Production Services
J.26.019750,Operation Activity,P.1077724,O.1077724.01,A.1077724.01.01,ShaleAID treatment,ORIGIN ENERGY UPSTREAM OPERATOR PTY LTD,,AUS East Coast WS,,WS Production Services
J.26.019998,Operation Activity,P.1077615,O.1077615.01,A.1077615.01.01,ENI_BT P5_Rigless,ENI AUSTRALIA B.V.,,New Burn WL,,WL Production Services
J.25.160791,Operation Activity,P.1076618,O.1076618.01,A.1076618.01.02,Pine Creek 2,WESTSIDE CORPORATION LTD,ENSIGN 958,Roma WL,,WL Evaluation Services
J.25.160763,Operation Activity,P.1076618,O.1076618.01,A.1076618.01.01,Pine Creek 1,WESTSIDE CORPORATION LTD,ENSIGN 958,Roma WL,,WL Evaluation Services
J.25.159833,Operation Activity,P.1076554,O.1076554.01,A.1076554.01.01,Jadestone | Stag-48H | WLPS | CIS,JADESTONE ENERGY (EAGLE) PTY LTD,RIGLESS - AUSTRALIA,New Burn WL,,WL Production Services
J.26.013202,Operation Activity,P.1076040,O.1076040.01,A.1076040.01.02,"PER04,02 & AP4,3,2",WOODSIDE ENERGY LTD,TRANSOCEAN ENDURANCE,New Burn WL,,Wireline Slickline
J.26.013201,Operation Activity,P.1076040,O.1076040.01,A.1076040.01.01,TPA03,WOODSIDE ENERGY LTD,TRANSOCEAN ENDURANCE,New Burn WL,,Wireline Slickline
J.26.012893,Operation Activity,P.1075437,O.1075437.01,A.1075437.01.01,PNA AP 04,WOODSIDE ENERGY LTD,TRANSOCEAN ENDURANCE,AUS West Coast WS,,WS Well Intervention
J.26.012894,Operation Activity,P.1075437,O.1075437.01,A.1075437.01.02,PNA AP 03,WOODSIDE ENERGY LTD,TRANSOCEAN ENDURANCE,AUS West Coast WS,,WS Well Intervention
J.26.012895,Operation Activity,P.1075437,O.1075437.01,A.1075437.01.03,PNA AP 02,WOODSIDE ENERGY LTD,TRANSOCEAN ENDURANCE,AUS West Coast WS,,WS Well Intervention
J.26.012896,Operation Activity,P.1075437,O.1075437.01,A.1075437.01.04,PNA PER 04,WOODSIDE ENERGY LTD,TRANSOCEAN ENDURANCE,AUS West Coast WS,,WS Well Intervention
J.25.143807,Operation Activity,P.1075365,O.1075365.01,A.1075365.01.01,Fugro Subsea Sampling,FUGRO AUSTRALIA PTY LTD,,APG TS,,TS Downhole Reservoir Testing
J.25.141287,Operation Activity,P.1075148,O.1075148.01,A.1075148.01.01,Enniskillen 1,GEOSCIENCE AUSTRALIA (AGSO),ENSIGN 974,Roma WL,,WL Evaluation Services
J.25.141275,Operation Activity,P.1075147,O.1075147.01,A.1075147.01.01,PNG Offshore Well 1,TOTALENERGIES EP PNG LIMITED,VALARIS 107,Port Moresby WL,,WL Evaluation Services
J.25.128853,Operation Activity,P.1074248,O.1074248.01,A.1074248.01.01,Annulus Inspection,WOODSIDE ENERGY LTD,,New Burn WL,,WL Production Services
J.26.022201,Operation Activity,P.1074004,O.1074004.13,A.1074004.13.03,Origin Adhoc Dec 2026,AUSTRALIA PACIFIC LNG PTY LTD,SLR 168,Roma WL,,WL Evaluation Services
J.26.022200,Operation Activity,P.1074004,O.1074004.13,A.1074004.13.02,Origin Adhoc Nov 2026,AUSTRALIA PACIFIC LNG PTY LTD,SLR 168,Roma WL,,WL Evaluation Services
J.26.022199,Operation Activity,P.1074004,O.1074004.13,A.1074004.13.01,Origin Adhoc Oct 2026,AUSTRALIA PACIFIC LNG PTY LTD,SLR 168,Roma WL,,WL Evaluation Services
J.26.022198,Operation Activity,P.1074004,O.1074004.12,A.1074004.12.03,Origin Adhoc Sep 2026,AUSTRALIA PACIFIC LNG PTY LTD,SLR 168,Roma WL,,WL Evaluation Services
J.26.022197,Operation Activity,P.1074004,O.1074004.12,A.1074004.12.02,Origin Adhoc Aug 2026,AUSTRALIA PACIFIC LNG PTY LTD,SLR 168,Roma WL,,WL Evaluation Services
J.26.022196,Operation Activity,P.1074004,O.1074004.12,A.1074004.12.01,Origin Adhoc Jul 2026,AUSTRALIA PACIFIC LNG PTY LTD,SLR 168,Roma WL,,WL Evaluation Services
J.26.022195,Operation Activity,P.1074004,O.1074004.11,A.1074004.11.03,Origin Adhoc Jun 2026,AUSTRALIA PACIFIC LNG PTY LTD,SLR 168,Roma WL,,WL Evaluation Services
J.26.022194,Operation Activity,P.1074004,O.1074004.11,A.1074004.11.02,Origin Adhoc May 2026,AUSTRALIA PACIFIC LNG PTY LTD,SLR 168,Roma WL,,WL Evaluation Services
J.26.022193,Operation Activity,P.1074004,O.1074004.11,A.1074004.11.01,Origin Adhoc Apr 2026,AUSTRALIA PACIFIC LNG PTY LTD,SLR 168,Roma WL,,WL Evaluation Services
J.26.022192,Operation Activity,P.1074004,O.1074004.10,A.1074004.10.03,Origin Adhoc Mar 2026,AUSTRALIA PACIFIC LNG PTY LTD,SLR 168,Roma WL,,WL Evaluation Services
J.26.022191,Operation Activity,P.1074004,O.1074004.10,A.1074004.10.02,Origin Adhoc Feb 2026,AUSTRALIA PACIFIC LNG PTY LTD,SLR 168,Roma WL,,WL Evaluation Services
J.25.181362,Operation Activity,P.1074004,O.1074004.10,A.1074004.10.01,Origin Adhoc Jan 2026,AUSTRALIA PACIFIC LNG PTY LTD,SLR 168,Roma WL,,WL Evaluation Services
J.26.022209,Operation Activity,P.1074004,O.1074004.08,A.1074004.08.03,Origin Dedicated OH Sep 2026,AUSTRALIA PACIFIC LNG PTY LTD,SAVANNA DRILLING #449,Roma WL,,WL Evaluation Services
