sap_wbs_raw,wbs_source,project_number,operation_number,ops_activity_number,wbs_name,client_name,rig,ops_district,location
"J.22.111697(SLKN), J.22.153401(WLPS)",Project,P.1033291,,,Q3 U420 Rigless,SANTOS LIMITED,RIGLESS - AUSTRALIA,Moomba WL,Moomba
J.21.111685(WLES),Project,P.1024839,,,Sav 408 Drilling,SANTOS LIMITED,"SAVANNA DRILLING #408, SAVANNA 165, SAVANNA 186, ENSIGN 968, SAVANNA 166",Roma WL,Roma
"J.22.114003(WLPS), J.22.124600(SLKN), J.22.156374(WLES)",Project,P.1033318,,,Dedicated truck for SLDT/SCMT,SANTOS LIMITED,RIGLESS - AUSTRALIA,Roma WL,Roma
"J.25.125532(SLKN), J.25.130117(WLES)",Project,P.1074004,,,Origin OH Unit Jul2025 Onwards,AUSTRALIA PACIFIC LNG PTY LTD,"SAVANNA DRILLING #449, RIGLESS - AUSTRALIA, SLR 168",Roma WL,Roma
"J.24.078871(PSV), J.24.197619(TSW)",Project,P.1056828,,,ESSO PnA Bleed-off Bass Straight,ESSO AUSTRALIA LTD,VALARIS 107,APG TS,Jandakot
J.22.121677(SLKN),Project,P.1035485,,,CSG Drilling,DENISON GAS,"SILVER CITY 20, ENSIGN 974",Roma WL,Roma
"J.23.087908(SLKN), J.23.179438(WLPS), J.23.182333(WLES)",Project,P.1045991,,,CO2CRC,CO2CRC LIMITED,"SAVANNA 166, RIGLESS - AUSTRALIA",Roma WL,Roma
J.24.079733(WIS),Project,P.1056886,,,Barrow Island PNA,CHEVRON APG ABU PERTH.,Rigless,AUS West Coast WS,Jandakot
J.25.160761(SLKN),Project,P.1076618,,,Pine Creek Exploration,WESTSIDE CORPORATION LTD,ENSIGN 958,Roma WL,Roma
J.23.167739(SLKN),Project,P.1052473,,,ELIXIR,ENERGYCAPTURE PTY LIMITED,SAVANNA 185,Roma WL,Roma
"J.22.137573(TSW), J.22.143837(PSV)",Project,P.1035747,,,Shell QGC,QGC,Rigless,APG TS,Jandakot
J.26.019746(WIS),Project,P.1077724,,,ShaleAID Field Trial 2026,ORIGIN ENERGY UPSTREAM OPERATOR PTY LTD,Rigless,AUS East Coast WS,Roma
"J.25.057262(SLKN), J.25.070036(WLES), J.25.099360(WLPS)",Project,P.1069094,,,Condor,CONDOR ENERGY SERVICES LTD,CONDOR RIG 1,Roma WL,Roma
"J.25.166468(PSV), J.25.169965(LABR)",Project,P.1077044,,,Gold Hydrogen Lab analysis,GOLD HYDROGEN LTD,Rigless,APG TS,Jandakot
J.25.143803(PSV),Project,P.1075365,,,FUGRO Subsea Sampling Job,FUGRO AUSTRALIA PTY LTD,Rigless,APG TS,Jandakot
J.25.164608(SLKN),Project,P.1076906,,,Peak Sales and rentals 2025,AGR (AUSTRALIA) PTY LTD,Rigless,New Burn WL,Jandakot
J.22.156198(SLKN),Project,P.1028314,,,Mangahewa G2 Campaign,TODD ENERGY LIMITED,BIG BEN,New Plymouth WL,New Plymouth
J.25.141286(SLKN),Project,P.1075148,,,Geoscience Australia,GEOSCIENCE AUSTRALIA (AGSO),ENSIGN 974,Roma WL,Roma
