PO Line ID,GR Posting Date,GR Effective Quantity
"4581717940-1",2023-06-06 00:00:00.000,0.00
"4581717940-1",2023-06-13 00:00:00.000,2.00
"4581722816-1",2022-12-12 00:00:00.000,0.00
"4581722816-1",2023-01-10 00:00:00.000,10.00
"4581722816-2",2022-12-12 00:00:00.000,0.00
"4581722816-2",2023-01-10 00:00:00.000,20.00
"4581722816-3",2022-12-12 00:00:00.000,0.00
"4581722816-3",2023-01-10 00:00:00.000,10.00
"4581722816-4",2022-12-12 00:00:00.000,0.00
"4581722816-4",2023-01-10 00:00:00.000,20.00
"4581724740-1",2022-12-06 00:00:00.000,1272.32
"4581727777-1",2022-12-15 00:00:00.000,142.50
"4581727777-1",2022-12-21 00:00:00.000,10.50
"4581727777-1",2022-12-29 00:00:00.000,49.50
"4581727777-1",2023-01-20 00:00:00.000,36.00
"4581727827-1",2023-01-03 00:00:00.000,745.00
"4581727828-1",2022-12-15 00:00:00.000,541.50
"4581727828-1",2022-12-21 00:00:00.000,123.00
"4581727828-1",2022-12-29 00:00:00.000,40.50
"4581727828-1",2023-01-16 00:00:00.000,153.00
"4581737302-13",2023-01-05 00:00:00.000,0.00
"4581737302-13",2023-01-11 00:00:00.000,2.00
"4581737304-23",2023-09-08 00:00:00.000,0.00
"4581737304-23",2023-09-28 00:00:00.000,50.00
"4581737304-24",2023-08-15 00:00:00.000,0.00
"4581737304-24",2023-08-23 00:00:00.000,2.00
"4581737304-25",2023-09-08 00:00:00.000,0.00
"4581737304-25",2023-09-29 00:00:00.000,1.00
"4581737304-26",2023-05-30 00:00:00.000,0.00
"4581737304-26",2023-06-07 00:00:00.000,1.00
"4581737304-6",2023-10-03 00:00:00.000,0.00
"4581737304-6",2023-10-25 00:00:00.000,5.00
"4581737304-8",2023-08-15 00:00:00.000,0.00
"4581737304-8",2023-08-23 00:00:00.000,1.00
"4581737305-134",2023-07-14 00:00:00.000,0.00
"4581737305-134",2023-07-19 00:00:00.000,2.00
"4581737305-151",2023-08-05 00:00:00.000,0.00
"4581737305-151",2023-08-09 00:00:00.000,27.00
"4581737305-20",2023-07-14 00:00:00.000,0.00
"4581737305-20",2023-07-19 00:00:00.000,6.00
"4581737305-209",2023-02-21 00:00:00.000,0.00
"4581737305-209",2023-02-28 00:00:00.000,230.00
"4581737305-227",2023-07-14 00:00:00.000,0.00
"4581737305-227",2023-07-19 00:00:00.000,1.00
"4581737305-229",2023-07-14 00:00:00.000,0.00
"4581737305-229",2023-07-19 00:00:00.000,3.00
"4581737305-231",2023-07-14 00:00:00.000,0.00
"4581737305-231",2023-07-19 00:00:00.000,14.00
"4581737307-11",2023-07-05 00:00:00.000,0.00
"4581737307-11",2023-07-10 00:00:00.000,5.00
"4581737307-7",2023-07-05 00:00:00.000,0.00
"4581737307-7",2023-07-10 00:00:00.000,5.00
"4581737813-16",2022-12-05 00:00:00.000,5.00
"4581737813-17",2022-12-06 00:00:00.000,2.00
"4581737813-17",2022-12-08 00:00:00.000,0.00
"4581737813-17",2022-12-19 00:00:00.000,87.00
"4581737813-2",2022-12-06 00:00:00.000,5.00
"4581737813-24",2022-12-05 00:00:00.000,5.00
"4581737813-25",2022-12-05 00:00:00.000,5.00
"4581737813-26",2022-12-05 00:00:00.000,2.00
"4581737813-6",2023-11-20 00:00:00.000,0.00
"4581737813-6",2023-11-28 00:00:00.000,2.00
"4581740030-1",2023-02-28 00:00:00.000,0.00
"4581740030-1",2023-03-14 00:00:00.000,10.00
"4581740682-1",2023-04-17 00:00:00.000,0.00
"4581740682-1",2023-04-24 00:00:00.000,50.00
"4581740685-2",2023-01-11 00:00:00.000,0.00
"4581740685-2",2023-01-23 00:00:00.000,12.00
"4581740685-2",2023-02-08 00:00:00.000,0.00
"4581740685-2",2023-03-28 00:00:00.000,0.00
"4581740685-2",2023-04-05 00:00:00.000,141.00
"4581740685-2",2023-07-10 00:00:00.000,0.00
"4581740685-2",2023-07-25 00:00:00.000,447.00
"4581740685-3",2024-02-21 00:00:00.000,0.00
"4581740685-3",2024-05-14 00:00:00.000,2.00
"4581740685-4",2023-03-14 00:00:00.000,0.00
"4581740685-4",2023-03-20 00:00:00.000,1.00
"4581740693-2",2023-02-01 00:00:00.000,0.00
"4581740693-2",2023-02-27 00:00:00.000,1.00
"4581740694-1",2023-06-12 00:00:00.000,0.00
"4581740694-1",2023-06-29 00:00:00.000,2.00
"4581740694-2",2023-01-17 00:00:00.000,0.00
"4581740694-2",2023-02-16 00:00:00.000,3.00
"4581740694-3",2022-12-20 00:00:00.000,1.00
"4581749510-1",2022-12-05 00:00:00.000,989.00
"4581749510-1",2022-12-06 00:00:00.000,11.00
"4581749510-2",2022-12-06 00:00:00.000,1000.00
"4581749588-1",2023-02-10 00:00:00.000,0.00
"4581749588-1",2023-03-14 00:00:00.000,10.00
"4581749604-10",2022-12-08 00:00:00.000,0.00
"4581749604-10",2022-12-19 00:00:00.000,2.00
"4581749604-10",2022-12-21 00:00:00.000,0.00
"4581749604-10",2022-12-29 00:00:00.000,2.00
"4581749604-11",2023-01-03 00:00:00.000,0.00
"4581749604-11",2023-01-10 00:00:00.000,2.00
"4581749604-11",2023-02-18 00:00:00.000,0.00
"4581749604-11",2023-02-24 00:00:00.000,1.00
"4581749604-12",2023-04-15 00:00:00.000,0.00
"4581749604-12",2023-04-26 00:00:00.000,2.00
"4581749604-13",2022-12-06 00:00:00.000,4.00
"4581749604-14",2022-12-06 00:00:00.000,0.00
"4581749604-14",2022-12-14 00:00:00.000,1.00
"4581749604-14",2023-02-01 00:00:00.000,0.00
"4581749604-14",2023-02-06 00:00:00.000,2.00
"4581749604-2",2022-12-08 00:00:00.000,0.00
"4581749604-2",2022-12-19 00:00:00.000,3.00
"4581749604-3",2022-12-04 00:00:00.000,1.00
"4581749604-3",2022-12-06 00:00:00.000,0.00
"4581749604-3",2022-12-14 00:00:00.000,3.00
"4581749604-4",2022-12-08 00:00:00.000,0.00
"4581749604-4",2022-12-19 00:00:00.000,3.00
"4581749604-5",2022-12-08 00:00:00.000,0.00
"4581749604-5",2022-12-19 00:00:00.000,3.00
"4581749604-5",2023-04-15 00:00:00.000,0.00
"4581749604-5",2023-04-26 00:00:00.000,1.00
"4581749604-6",2022-12-08 00:00:00.000,0.00
"4581749604-6",2022-12-19 00:00:00.000,3.00
"4581749604-7",2022-12-08 00:00:00.000,0.00
"4581749604-7",2022-12-19 00:00:00.000,4.00
"4581749604-9",2022-12-08 00:00:00.000,0.00
"4581749604-9",2022-12-19 00:00:00.000,4.00
"4581751588-1",2023-03-20 00:00:00.000,1500.00
"4581751588-2",2023-03-20 00:00:00.000,2010.00
"4581751588-3",2023-01-11 00:00:00.000,0.00
"4581751588-3",2023-03-20 00:00:00.000,10.00
"4581751588-4",2023-03-20 00:00:00.000,24.00
"4581751588-5",2023-03-20 00:00:00.000,10.00
"4581751588-6",2023-03-20 00:00:00.000,10.00
"4581751588-7",2023-03-20 00:00:00.000,200.00
"4581751588-8",2023-03-20 00:00:00.000,100.00
"4581751588-9",2023-03-20 00:00:00.000,1500.00
"4581751589-1",2023-01-09 00:00:00.000,0.00
"4581751589-1",2023-03-22 00:00:00.000,83.00
"4581751589-2",2023-01-09 00:00:00.000,0.00
"4581751589-2",2023-03-22 00:00:00.000,83.00
"4581751589-4",2023-01-09 00:00:00.000,0.00
"4581751589-4",2023-03-22 00:00:00.000,60.00
"4581751589-5",2023-01-09 00:00:00.000,0.00
"4581751589-5",2023-03-22 00:00:00.000,30.00
"4581751613-1",2023-01-18 00:00:00.000,0.00
"4581751613-1",2023-02-01 00:00:00.000,84.00
"4581751613-1",2023-05-09 00:00:00.000,0.00
"4581751613-1",2023-05-22 00:00:00.000,36.00
"4581751613-2",2022-12-06 00:00:00.000,3120.00
"4581751613-3",2023-01-30 00:00:00.000,0.00
"4581751613-3",2023-02-06 00:00:00.000,6.00
"4581751613-3",2023-02-08 00:00:00.000,0.00
"4581751613-3",2023-04-05 00:00:00.000,244.00
"4581751613-4",2022-12-06 00:00:00.000,400.00
"4581751613-7",2023-01-18 00:00:00.000,0.00
"4581751613-7",2023-02-06 00:00:00.000,7.00
"4581751613-8",2023-11-16 00:00:00.000,0.00
"4581751613-8",2023-12-29 00:00:00.000,2.00
"4581751616-1",2022-12-12 00:00:00.000,0.00
"4581751616-1",2023-01-20 00:00:00.000,300.00
"4581751616-10",2022-12-12 00:00:00.000,0.00
"4581751616-10",2023-01-20 00:00:00.000,10.00
"4581751616-11",2022-12-12 00:00:00.000,0.00
"4581751616-11",2023-01-20 00:00:00.000,40.00
"4581751616-12",2022-12-12 00:00:00.000,0.00
"4581751616-12",2023-01-20 00:00:00.000,6.00
"4581751616-13",2022-12-06 00:00:00.000,6.00
"4581751616-14",2022-12-06 00:00:00.000,6.00
"4581751616-15",2022-12-06 00:00:00.000,6.00
"4581751616-17",2023-08-10 00:00:00.000,0.00
"4581751616-17",2023-08-29 00:00:00.000,6.00
"4581751616-18",2022-12-05 00:00:00.000,8.00
"4581751616-19",2022-12-06 00:00:00.000,3.00
"4581751616-2",2022-12-12 00:00:00.000,0.00
"4581751616-2",2023-01-20 00:00:00.000,250.00
"4581751616-20",2022-12-12 00:00:00.000,0.00
"4581751616-20",2023-01-20 00:00:00.000,1.00
"4581751616-21",2022-12-12 00:00:00.000,0.00
"4581751616-21",2023-01-20 00:00:00.000,2.00
"4581751616-22",2022-12-12 00:00:00.000,0.00
"4581751616-22",2023-01-20 00:00:00.000,1.00
"4581751616-23",2022-12-20 00:00:00.000,4.00
"4581751616-24",2022-12-06 00:00:00.000,4.00
"4581751616-25",2024-04-06 00:00:00.000,0.00
"4581751616-25",2024-04-16 00:00:00.000,4.00
"4581751616-26",2022-12-12 00:00:00.000,0.00
"4581751616-26",2023-01-20 00:00:00.000,2.00
"4581751616-27",2022-12-12 00:00:00.000,0.00
"4581751616-27",2023-01-20 00:00:00.000,2.00
"4581751616-3",2022-12-12 00:00:00.000,0.00
"4581751616-3",2023-01-20 00:00:00.000,250.00
"4581751616-4",2022-12-12 00:00:00.000,0.00
"4581751616-4",2023-01-20 00:00:00.000,5.00
"4581751616-5",2022-12-12 00:00:00.000,0.00
"4581751616-5",2023-01-16 00:00:00.000,0.00
"4581751616-5",2023-01-20 00:00:00.000,1.00
"4581751616-5",2023-01-23 00:00:00.000,2.00
"4581751616-5",2023-03-03 00:00:00.000,0.00
"4581751616-5",2023-03-10 00:00:00.000,3.00
"4581751616-6",2022-12-12 00:00:00.000,0.00
"4581751616-6",2023-01-20 00:00:00.000,6.00
"4581751616-7",2022-12-14 00:00:00.000,0.00
"4581751616-7",2022-12-22 00:00:00.000,1.00
"4581751616-7",2023-02-18 00:00:00.000,0.00
"4581751616-7",2023-03-01 00:00:00.000,2.00
"4581751616-7",2023-03-15 00:00:00.000,0.00
"4581751616-7",2023-04-26 00:00:00.000,3.00
"4581751616-8",2022-12-06 00:00:00.000,20.00
"4581751616-9",2024-08-14 00:00:00.000,0.00
"4581751616-9",2024-08-22 00:00:00.000,50.00
"4581751618-1",2022-12-23 00:00:00.000,0.00
"4581751618-1",2023-02-09 00:00:00.000,8.00
"4581753835-2",2023-04-26 00:00:00.000,-1.00
"4581753857-2",2023-04-26 00:00:00.000,-1.00
"4581753865-2",2023-04-26 00:00:00.000,-1.00
"4581753886-2",2023-01-03 00:00:00.000,-1.00
"4581755059-1",2023-01-24 00:00:00.000,0.00
"4581755059-1",2023-01-31 00:00:00.000,1.00
"4581755060-1",2023-02-22 00:00:00.000,0.00
"4581755060-1",2023-03-02 00:00:00.000,2.00
"4581755317-2",2023-02-14 00:00:00.000,250.00
"4581755318-1",2023-04-19 00:00:00.000,10.00
"4581755327-1",2022-12-08 00:00:00.000,0.00
"4581755327-1",2022-12-15 00:00:00.000,2.00
"4581755577-1",2022-12-02 00:00:00.000,0.00
"4581755577-1",2022-12-14 00:00:00.000,1778.00
"4581763741-1",2022-12-23 00:00:00.000,40.00
"4581766817-1",2023-01-25 00:00:00.000,0.00
"4581766817-1",2023-03-20 00:00:00.000,10.00
"4581767279-1",2022-12-06 00:00:00.000,60.00
"4581770073-1",2024-04-01 00:00:00.000,0.00
"4581770073-1",2024-04-10 00:00:00.000,1.00
"4581770082-1",2023-05-09 00:00:00.000,0.00
"4581770082-1",2023-08-16 00:00:00.000,3.00
"4581770101-1",2023-01-15 00:00:00.000,0.00
"4581770101-1",2023-02-14 00:00:00.000,6.00
"4581770101-2",2023-01-15 00:00:00.000,0.00
"4581770101-2",2023-02-14 00:00:00.000,10.00
"4581770101-3",2023-01-15 00:00:00.000,0.00
"4581770101-3",2023-02-14 00:00:00.000,20.00
"4581770774-1",2022-12-02 00:00:00.000,4.00
"4581770774-2",2022-12-02 00:00:00.000,4.00
"4581770774-3",2022-12-02 00:00:00.000,2.00
"4581771943-1",2022-12-07 00:00:00.000,0.00
"4581771943-1",2022-12-13 00:00:00.000,1.00
"4581771943-2",2022-12-07 00:00:00.000,0.00
"4581771943-2",2022-12-13 00:00:00.000,1.00
"4581775352-1",2022-12-14 00:00:00.000,1.00
"4581775352-2",2022-12-14 00:00:00.000,70.00
"4581776258-1",2022-12-17 00:00:00.000,0.00
"4581776258-1",2023-01-06 00:00:00.000,1.00
"4581776258-2",2023-07-17 00:00:00.000,10.00
"4581776258-3",2023-02-08 00:00:00.000,0.00
"4581776258-3",2023-03-03 00:00:00.000,13.00
"4581776260-1",2023-06-10 00:00:00.000,0.00
"4581776260-1",2023-07-04 00:00:00.000,1.00
"4581776260-10",2023-03-14 00:00:00.000,0.00
"4581776260-10",2023-04-04 00:00:00.000,20.00
"4581776260-11",2023-05-08 00:00:00.000,0.00
"4581776260-11",2023-05-29 00:00:00.000,2.00
"4581776260-12",2023-03-14 00:00:00.000,0.00
"4581776260-12",2023-04-04 00:00:00.000,1.00
"4581776260-13",2022-12-20 00:00:00.000,1.00
"4581776260-14",2023-03-14 00:00:00.000,0.00
"4581776260-14",2023-04-04 00:00:00.000,3.00
"4581776260-15",2023-03-06 00:00:00.000,0.00
"4581776260-15",2023-04-04 00:00:00.000,3.00
"4581776260-16",2023-02-01 00:00:00.000,0.00
"4581776260-16",2023-03-03 00:00:00.000,3.00
"4581776260-17",2023-03-14 00:00:00.000,0.00
"4581776260-17",2023-04-04 00:00:00.000,3.00
"4581776260-18",2023-03-14 00:00:00.000,0.00
"4581776260-18",2023-04-04 00:00:00.000,10.00
"4581776260-19",2023-02-01 00:00:00.000,0.00
"4581776260-19",2023-03-03 00:00:00.000,3.00
"4581776260-2",2023-05-26 00:00:00.000,0.00
"4581776260-2",2023-06-20 00:00:00.000,1.00
"4581776260-20",2023-03-14 00:00:00.000,0.00
"4581776260-20",2023-04-04 00:00:00.000,4.00
"4581776260-21",2023-03-14 00:00:00.000,0.00
"4581776260-21",2023-04-04 00:00:00.000,1.00
"4581776260-22",2023-11-20 00:00:00.000,0.00
"4581776260-22",2023-12-11 00:00:00.000,1.00
"4581776260-23",2023-01-21 00:00:00.000,0.00
"4581776260-23",2023-02-14 00:00:00.000,2.00
"4581776260-24",2023-03-14 00:00:00.000,0.00
"4581776260-24",2023-04-04 00:00:00.000,15.00
"4581776260-25",2023-03-14 00:00:00.000,0.00
"4581776260-25",2023-04-04 00:00:00.000,3.00
"4581776260-26",2023-03-29 00:00:00.000,0.00
"4581776260-26",2023-04-18 00:00:00.000,1.00
"4581776260-27",2022-12-20 00:00:00.000,1.00
"4581776260-28",2023-03-14 00:00:00.000,0.00
"4581776260-28",2023-04-04 00:00:00.000,1.00
"4581776260-29",2023-03-14 00:00:00.000,0.00
"4581776260-29",2023-04-04 00:00:00.000,1.00
"4581776260-3",2023-03-06 00:00:00.000,0.00
"4581776260-3",2023-04-04 00:00:00.000,1.00
"4581776260-30",2023-03-14 00:00:00.000,0.00
"4581776260-30",2023-04-04 00:00:00.000,50.00
"4581776260-31",2024-05-16 00:00:00.000,0.00
"4581776260-31",2025-02-05 00:00:00.000,4.00
"4581776260-32",2022-12-20 00:00:00.000,10.00
"4581776260-33",2023-03-14 00:00:00.000,0.00
"4581776260-33",2023-04-04 00:00:00.000,20.00
"4581776260-34",2023-03-14 00:00:00.000,0.00
"4581776260-34",2023-04-04 00:00:00.000,34.00
"4581776260-35",2023-03-22 00:00:00.000,0.00
"4581776260-35",2023-04-18 00:00:00.000,20.00
"4581776260-36",2023-03-14 00:00:00.000,0.00
"4581776260-36",2023-04-04 00:00:00.000,20.00
"4581776260-37",2023-03-24 00:00:00.000,0.00
"4581776260-37",2023-04-18 00:00:00.000,80.00
"4581776260-38",2023-02-11 00:00:00.000,0.00
"4581776260-38",2023-04-04 00:00:00.000,37.00
"4581776260-39",2023-03-04 00:00:00.000,0.00
"4581776260-39",2023-04-04 00:00:00.000,5.00
"4581776260-4",2023-03-14 00:00:00.000,0.00
"4581776260-4",2023-04-04 00:00:00.000,1.00
"4581776260-40",2023-03-14 00:00:00.000,0.00
"4581776260-40",2023-04-04 00:00:00.000,70.00
"4581776260-41",2023-03-14 00:00:00.000,0.00
"4581776260-41",2023-04-04 00:00:00.000,50.00
"4581776260-42",2023-03-14 00:00:00.000,0.00
"4581776260-42",2023-04-04 00:00:00.000,20.00
"4581776260-43",2023-04-03 00:00:00.000,0.00
"4581776260-43",2023-05-02 00:00:00.000,5.00
"4581776260-44",2023-03-06 00:00:00.000,0.00
"4581776260-44",2023-04-04 00:00:00.000,1.00
"4581776260-45",2023-03-14 00:00:00.000,0.00
