PO Line ID,Invoice Posting Date,IR Effective Quantity,IR Amount USD
"4581717940-1",2023-06-06 00:00:00.000,2.00,5356.00
"4581722816-1",2022-12-12 00:00:00.000,10.00,1930.00
"4581722816-2",2022-12-12 00:00:00.000,20.00,8000.00
"4581722816-3",2022-12-12 00:00:00.000,10.00,7670.00
"4581722816-4",2022-12-12 00:00:00.000,20.00,13000.00
"4581724740-1",2023-04-19 00:00:00.000,1272.32,14955.91
"4581727777-1",2022-12-10 00:00:00.000,124.50,15030.17
"4581727777-1",2022-12-21 00:00:00.000,141.00,17022.12
"4581727777-1",2023-01-09 00:00:00.000,144.14,17577.60
"4581727777-1",2023-01-23 00:00:00.000,91.50,11158.52
"4581727777-1",2024-06-24 00:00:00.000,1.36,162.54
"4581727827-1",2022-12-01 00:00:00.000,39.00,11665.99
"4581727827-1",2022-12-07 00:00:00.000,123.00,36792.75
"4581727827-1",2022-12-09 00:00:00.000,102.00,30511.06
"4581727827-1",2022-12-10 00:00:00.000,121.50,36344.06
"4581727827-1",2022-12-14 00:00:00.000,157.50,47112.67
"4581727827-1",2022-12-15 00:00:00.000,240.00,71790.73
"4581727827-1",2023-02-07 00:00:00.000,189.00,59953.05
"4581727828-1",2022-12-21 00:00:00.000,406.50,52152.90
"4581727828-1",2022-12-22 00:00:00.000,299.50,36217.29
"4581727828-1",2023-01-06 00:00:00.000,-60.00,-10426.82
"4581727828-1",2023-01-08 00:00:00.000,156.41,19074.27
"4581727828-1",2023-01-25 00:00:00.000,200.00,24390.23
"4581727828-1",2023-04-05 00:00:00.000,76.09,8116.23
"4581731859-1",2023-05-17 00:00:00.000,2.00,34725.00
"4581731859-2",2023-05-17 00:00:00.000,2.00,2790.00
"4581736496-1",2024-12-13 00:00:00.000,3.00,0.00
"4581737302-13",2023-01-05 00:00:00.000,2.00,88.00
"4581737304-23",2023-09-08 00:00:00.000,50.00,44.00
"4581737304-24",2023-08-15 00:00:00.000,2.00,78.00
"4581737304-25",2023-09-08 00:00:00.000,1.00,7.00
"4581737304-26",2023-05-30 00:00:00.000,1.00,285.65
"4581737304-6",2023-10-03 00:00:00.000,5.00,1600.00
"4581737304-8",2023-08-15 00:00:00.000,1.00,424.02
"4581737305-134",2023-07-14 00:00:00.000,2.00,2186.16
"4581737305-151",2023-08-05 00:00:00.000,27.00,578.34
"4581737305-20",2023-07-14 00:00:00.000,6.00,5137.92
"4581737305-209",2023-02-21 00:00:00.000,230.00,322.00
"4581737305-227",2023-07-14 00:00:00.000,1.00,142.62
"4581737305-229",2023-07-14 00:00:00.000,3.00,82.98
"4581737305-231",2023-07-14 00:00:00.000,14.00,237.30
"4581737307-11",2023-07-05 00:00:00.000,5.00,459.10
"4581737307-7",2023-07-05 00:00:00.000,5.00,1277.20
"4581737813-17",2022-12-08 00:00:00.000,87.00,142.68
"4581737813-6",2023-11-20 00:00:00.000,2.00,1911.90
"4581740030-1",2023-03-02 00:00:00.000,10.00,2453.20
"4581740682-1",2023-04-17 00:00:00.000,54.00,21803.58
"4581740685-2",2023-01-11 00:00:00.000,12.00,580.92
"4581740685-2",2023-02-08 00:00:00.000,89.00,4308.49
"4581740685-2",2023-03-28 00:00:00.000,52.00,2517.32
"4581740685-2",2023-07-10 00:00:00.000,447.00,21639.27
"4581740685-3",2024-02-21 00:00:00.000,2.00,18009.60
"4581740685-4",2023-03-14 00:00:00.000,1.00,639.00
"4581740693-2",2023-02-01 00:00:00.000,1.00,2040.00
"4581740694-1",2023-06-12 00:00:00.000,2.00,1072.00
"4581740694-2",2023-01-17 00:00:00.000,3.00,1401.00
"4581749588-1",2023-02-10 00:00:00.000,10.00,2246.20
"4581749604-10",2022-12-08 00:00:00.000,2.00,362.74
"4581749604-10",2022-12-21 00:00:00.000,2.00,362.74
"4581749604-11",2023-01-03 00:00:00.000,2.00,386.72
"4581749604-11",2023-02-18 00:00:00.000,1.00,193.36
"4581749604-12",2023-04-15 00:00:00.000,2.00,314.16
"4581749604-14",2022-12-06 00:00:00.000,1.00,159.94
"4581749604-14",2023-02-01 00:00:00.000,2.00,319.88
"4581749604-2",2022-12-08 00:00:00.000,3.00,483.54
"4581749604-3",2022-12-06 00:00:00.000,3.00,518.19
"4581749604-4",2022-12-08 00:00:00.000,3.00,489.90
"4581749604-5",2022-12-08 00:00:00.000,3.00,490.74
"4581749604-5",2023-04-15 00:00:00.000,1.00,163.58
"4581749604-6",2022-12-08 00:00:00.000,3.00,487.29
"4581749604-7",2022-12-08 00:00:00.000,4.00,639.60
"4581749604-9",2022-12-08 00:00:00.000,4.00,648.16
"4581751588-1",2023-01-11 00:00:00.000,1500.00,60967.10
"4581751588-2",2023-01-11 00:00:00.000,2010.00,138393.86
"4581751588-3",2023-01-11 00:00:00.000,10.00,1462.17
"4581751588-4",2023-01-11 00:00:00.000,24.00,5123.86
"4581751588-5",2023-01-11 00:00:00.000,10.00,1331.47
"4581751588-6",2023-01-11 00:00:00.000,10.00,1063.60
"4581751588-7",2023-01-11 00:00:00.000,200.00,1935.86
"4581751588-8",2023-01-11 00:00:00.000,100.00,4879.05
"4581751588-9",2023-01-11 00:00:00.000,1500.00,10973.65
"4581751589-1",2023-01-09 00:00:00.000,83.00,16600.00
"4581751589-2",2023-01-09 00:00:00.000,83.00,18675.00
"4581751589-4",2023-01-09 00:00:00.000,60.00,53820.00
"4581751589-5",2023-01-09 00:00:00.000,30.00,35610.00
"4581751613-1",2023-01-18 00:00:00.000,84.00,2416.68
"4581751613-1",2023-05-09 00:00:00.000,36.00,1035.72
"4581751613-3",2023-01-30 00:00:00.000,6.00,7.56
"4581751613-3",2023-02-08 00:00:00.000,244.00,307.44
"4581751613-7",2023-01-18 00:00:00.000,7.00,155.82
"4581751613-8",2023-11-16 00:00:00.000,2.00,19359.64
"4581751616-1",2022-12-12 00:00:00.000,300.00,294.00
"4581751616-10",2022-12-12 00:00:00.000,10.00,68.50
"4581751616-11",2022-12-12 00:00:00.000,40.00,495.60
"4581751616-12",2022-12-12 00:00:00.000,6.00,620.58
"4581751616-17",2023-08-10 00:00:00.000,6.00,766.62
"4581751616-2",2022-12-12 00:00:00.000,250.00,205.00
"4581751616-20",2022-12-12 00:00:00.000,1.00,126.44
"4581751616-21",2022-12-12 00:00:00.000,2.00,173.56
"4581751616-22",2022-12-12 00:00:00.000,1.00,2040.00
"4581751616-25",2024-04-06 00:00:00.000,4.00,175.68
"4581751616-26",2022-12-12 00:00:00.000,2.00,224.66
"4581751616-27",2022-12-12 00:00:00.000,2.00,483.74
