po_line_id,transaction_type,posting_date,quantity,cost_impact_qty,cost_impact_amount,amount,transaction_id
4581911397-1,GR,2023-02-14 00:00:00,20.0,0.0,0.0,0.0,4581911397-1-GR-20230214-001
4581911397-1,IR,2023-01-16 00:00:00,20.0,20.0,52.0,52.0,4581911397-1-IR-20230116-001
4581911397-2,GR,2023-02-14 00:00:00,14.0,0.0,0.0,0.0,4581911397-2-GR-20230214-001
4581911397-2,IR,2023-01-16 00:00:00,14.0,14.0,81.62,81.62,4581911397-2-IR-20230116-001
4581911816-1,GR,2023-02-14 00:00:00,1000.0,0.0,0.0,0.0,4581911816-1-GR-20230214-001
4581911816-1,IR,2023-01-15 00:00:00,1000.0,1000.0,190.0,190.0,4581911816-1-IR-20230115-001
4581911816-2,GR,2023-08-16 00:00:00,1500.0,0.0,0.0,0.0,4581911816-2-GR-20230816-001
4581911816-2,IR,2023-03-13 00:00:00,1500.0,1500.0,375.0,375.0,4581911816-2-IR-20230313-001
4581911846-1,GR,2023-01-11 00:00:00,1.0,0.0,0.0,0.0,4581911846-1-GR-20230111-001
4581911846-1,IR,2023-01-05 00:00:00,1.0,1.0,1404.87,1404.87,4581911846-1-IR-20230105-001
4581911856-2,GR,2023-03-03 00:00:00,1.0,0.0,0.0,0.0,4581911856-2-GR-20230303-001
4581911856-2,IR,2023-02-22 00:00:00,1.0,1.0,2406.51,2406.51,4581911856-2-IR-20230222-001
4581913853-1,GR,2023-04-04 00:00:00,2.0,0.0,0.0,0.0,4581913853-1-GR-20230404-001
4581913853-1,IR,2023-03-08 00:00:00,2.0,2.0,14908.78,14908.78,4581913853-1-IR-20230308-001
4581913854-1,GR,2023-03-03 00:00:00,2.0,0.0,0.0,0.0,4581913854-1-GR-20230303-001
4581913854-1,IR,2023-02-01 00:00:00,2.0,2.0,2486.06,2486.06,4581913854-1-IR-20230201-001
4581913854-2,GR,2023-04-18 00:00:00,2.0,0.0,0.0,0.0,4581913854-2-GR-20230418-001
4581913854-2,IR,2023-02-01 00:00:00,2.0,2.0,2971.68,2971.68,4581913854-2-IR-20230201-001
4581913854-3,GR,2023-08-16 00:00:00,1.0,0.0,0.0,0.0,4581913854-3-GR-20230816-001
4581913854-3,IR,2023-04-28 00:00:00,1.0,1.0,1536.1,1536.1,4581913854-3-IR-20230428-001
4581913854-4,GR,2023-02-14 00:00:00,2.0,0.0,0.0,0.0,4581913854-4-GR-20230214-001
4581913854-4,GR,2023-03-03 00:00:00,3.0,0.0,0.0,0.0,4581913854-4-GR-20230303-001
4581913854-4,IR,2023-01-20 00:00:00,2.0,2.0,257.46,257.46,4581913854-4-IR-20230120-001
4581913854-4,IR,2023-02-01 00:00:00,3.0,3.0,386.19,386.19,4581913854-4-IR-20230201-001
4581913870-1,GR,2023-04-18 00:00:00,5.0,0.0,0.0,0.0,4581913870-1-GR-20230418-001
4581913870-1,IR,2023-03-19 00:00:00,5.0,5.0,201.3,201.3,4581913870-1-IR-20230319-001
